Sample_Type,RNA_File_ID,RNA_File_Name,Case_ID,Sample_ID,RNA_Sample_ID,Slide_Sample_ID,Slide_ID,Slide_File_Name
Primary Tumor,8ccc1ef4-ff7d-45b5-a9ba-e6b8d45e7b1f,d6238304-f96f-40ab-8d2c-d426a5e1ecf0.FPKM-UQ.txt.gz,TCGA-A2-A0CU,TCGA-A2-A0CU-01,TCGA-A2-A0CU-01A,TCGA-A2-A0CU-01Z,TCGA-A2-A0CU-01Z-00-DX1,TCGA-A2-A0CU-01Z-00-DX1.5B77D21C-A497-478B-9752-3730322AD9ED.svs
Primary Tumor,b8185480-0b87-463d-9407-0492cb007e99,69e11cde-c26b-40d2-a3f5-b668ef590688.FPKM-UQ.txt.gz,TCGA-A2-A0CV,TCGA-A2-A0CV-01,TCGA-A2-A0CV-01A,TCGA-A2-A0CV-01Z,TCGA-A2-A0CV-01Z-00-DX1,TCGA-A2-A0CV-01Z-00-DX1.B02D017A-61CD-45FE-BB31-705CD127DDAB.svs
Primary Tumor,9781e446-4eb9-4c3b-9645-104c6073ac4b,f288f879-8851-4adb-aff3-90c19dcf8b8c.FPKM-UQ.txt.gz,TCGA-A2-A0CW,TCGA-A2-A0CW-01,TCGA-A2-A0CW-01A,TCGA-A2-A0CW-01Z,TCGA-A2-A0CW-01Z-00-DX1,TCGA-A2-A0CW-01Z-00-DX1.8E313A22-B0E8-44CF-ADEA-8BF29BA23FFE.svs
Primary Tumor,09e2425f-ea8d-405f-b524-03861b67f9f3,f790ef4c-71bf-43a7-a610-4006a4c0a42c.FPKM-UQ.txt.gz,TCGA-A2-A0CX,TCGA-A2-A0CX-01,TCGA-A2-A0CX-01A,TCGA-A2-A0CX-01Z,TCGA-A2-A0CX-01Z-00-DX1,TCGA-A2-A0CX-01Z-00-DX1.F07C75AB-E568-45CB-B497-37C712490393.svs
Primary Tumor,65f8ce17-39c8-468b-a1a1-78dcaa39e7fc,91f35d16-88fd-4729-b4a8-09d26f20ad86.FPKM-UQ.txt.gz,TCGA-A2-A0CY,TCGA-A2-A0CY-01,TCGA-A2-A0CY-01A,TCGA-A2-A0CY-01Z,TCGA-A2-A0CY-01Z-00-DX1,TCGA-A2-A0CY-01Z-00-DX1.8815F011-317B-4BB7-A48F-64EABD0E558B.svs
Primary Tumor,51ae4deb-0e68-428d-b1f8-1512c46b4d49,34dd2d8f-6b3c-42ec-94c6-2c3eb75e8b91.FPKM-UQ.txt.gz,TCGA-A2-A0CZ,TCGA-A2-A0CZ-01,TCGA-A2-A0CZ-01A,TCGA-A2-A0CZ-01Z,TCGA-A2-A0CZ-01Z-00-DX1,TCGA-A2-A0CZ-01Z-00-DX1.A433A414-4F1B-4F99-8FD9-E64803F5E042.svs
Primary Tumor,384910d2-2719-4f58-abde-7fda069dccab,0d604955-ce10-4fa9-ba8b-9417c5719653.FPKM-UQ.txt.gz,TCGA-A2-A0D0,TCGA-A2-A0D0-01,TCGA-A2-A0D0-01A,TCGA-A2-A0D0-01Z,TCGA-A2-A0D0-01Z-00-DX1,TCGA-A2-A0D0-01Z-00-DX1.4FF6B8E5-703B-400F-920A-104F56E0F874.svs
Primary Tumor,869e79c3-54e9-43a3-85a4-7744b2a17cba,757b49f6-849d-45d9-a182-4caa6c527fc2.FPKM-UQ.txt.gz,TCGA-A2-A0D3,TCGA-A2-A0D3-01,TCGA-A2-A0D3-01A,TCGA-A2-A0D3-01Z,TCGA-A2-A0D3-01Z-00-DX1,TCGA-A2-A0D3-01Z-00-DX1.D18CE1C0-291D-41C1-8F71-2A0551F8C661.svs
Primary Tumor,3d9a6d01-bdd7-4e47-81ee-987649c704d0,8b178cb1-d22e-4657-80c6-d7efcddf43a6.FPKM-UQ.txt.gz,TCGA-A2-A0D4,TCGA-A2-A0D4-01,TCGA-A2-A0D4-01A,TCGA-A2-A0D4-01Z,TCGA-A2-A0D4-01Z-00-DX1,TCGA-A2-A0D4-01Z-00-DX1.35E43827-DABC-4685-A62A-333672923349.svs
Primary Tumor,f359b40b-987d-4202-9a87-0308512eb128,90d19c5c-f80b-454b-b776-99d13f01617e.FPKM-UQ.txt.gz,TCGA-A2-A0EM,TCGA-A2-A0EM-01,TCGA-A2-A0EM-01A,TCGA-A2-A0EM-01Z,TCGA-A2-A0EM-01Z-00-DX1,TCGA-A2-A0EM-01Z-00-DX1.305CF011-7451-4880-9A5D-AB4432CF53A5.svs
Primary Tumor,ccff7d09-42c6-4a72-9931-8aa85d7d3c34,b7d3f454-f36e-4ad0-bb40-8728ca3b240d.FPKM-UQ.txt.gz,TCGA-A2-A0EN,TCGA-A2-A0EN-01,TCGA-A2-A0EN-01A,TCGA-A2-A0EN-01Z,TCGA-A2-A0EN-01Z-00-DX1,TCGA-A2-A0EN-01Z-00-DX1.F43A5D17-9267-4963-993A-93AC91BDC031.svs
Primary Tumor,5b36ccfe-de9b-4808-9d3c-af33456fb81a,e733093b-8a60-46d7-9ddd-ec8a82206126.FPKM-UQ.txt.gz,TCGA-A2-A0EO,TCGA-A2-A0EO-01,TCGA-A2-A0EO-01A,TCGA-A2-A0EO-01Z,TCGA-A2-A0EO-01Z-00-DX1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589.svs
Primary Tumor,0185339a-8c9c-4310-9a7d-5c647b399eca,3c8923de-0d68-4137-a5d9-657a77cac893.FPKM-UQ.txt.gz,TCGA-A2-A0EP,TCGA-A2-A0EP-01,TCGA-A2-A0EP-01A,TCGA-A2-A0EP-01Z,TCGA-A2-A0EP-01Z-00-DX1,TCGA-A2-A0EP-01Z-00-DX1.1180C406-5C18-4373-8621-1B7B70875113.svs
Primary Tumor,7c7f0315-b27e-4bb2-aa28-a241f713a0a4,57e8b21e-eeb7-4f8e-a8b3-b6016bd37c96.FPKM-UQ.txt.gz,TCGA-A2-A0EQ,TCGA-A2-A0EQ-01,TCGA-A2-A0EQ-01A,TCGA-A2-A0EQ-01Z,TCGA-A2-A0EQ-01Z-00-DX1,TCGA-A2-A0EQ-01Z-00-DX1.5FCD8890-4594-4BE2-93B1-B8F698BFD2A0.svs
Primary Tumor,58d7d329-bfc1-4339-a398-2a9679692ba1,1f90a18e-1e38-4365-bbbe-9959fe96ef77.FPKM-UQ.txt.gz,TCGA-A2-A0ER,TCGA-A2-A0ER-01,TCGA-A2-A0ER-01A,TCGA-A2-A0ER-01Z,TCGA-A2-A0ER-01Z-00-DX1,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.svs
Primary Tumor,9c2f2d4e-25d4-4657-aaaf-edf4922579d6,41f067e1-7d50-448c-86fd-bdad3824b2ec.FPKM-UQ.txt.gz,TCGA-A2-A0ES,TCGA-A2-A0ES-01,TCGA-A2-A0ES-01A,TCGA-A2-A0ES-01Z,TCGA-A2-A0ES-01Z-00-DX1,TCGA-A2-A0ES-01Z-00-DX1.5652EE30-48C1-4EC1-AD77-8C72DFCB9A97.svs
Primary Tumor,8588aae7-2375-4903-9acd-4a7b1ec5ac29,aa47670a-4c3f-468a-b2d3-9d7b1d60845e.FPKM-UQ.txt.gz,TCGA-A2-A0ET,TCGA-A2-A0ET-01,TCGA-A2-A0ET-01A,TCGA-A2-A0ET-01Z,TCGA-A2-A0ET-01Z-00-DX1,TCGA-A2-A0ET-01Z-00-DX1.41E86BB9-EA52-4615-94E7-0F09DDB094F4.svs
Primary Tumor,43e0648d-785a-4ef2-8d66-b26501ad4f6f,7e89a428-9132-4efa-b119-10241f0ecdcc.FPKM-UQ.txt.gz,TCGA-A2-A0EU,TCGA-A2-A0EU-01,TCGA-A2-A0EU-01A,TCGA-A2-A0EU-01Z,TCGA-A2-A0EU-01Z-00-DX1,TCGA-A2-A0EU-01Z-00-DX1.13335BEB-63D4-469B-A389-8A079A096129.svs
